role,company,loc,dates,details
Senior Data Analyst, Toast Inc.,"Boston, MA",Jun. 2024 - Present, "Stuff"
Product Data Scientist,Bumble Inc.,"Boston, MA",Jan. 2022 - Jun. 2024,Drove organizational change through the development of new metrics and a/b testing  analysis tools. 
Product Data Scientist,Bumble Inc.,"Boston, MA",Jan. 2022 - Jun. 2024,Completely rebuilt the a/b testing data pipeline. 
Product Data Scientist,Bumble Inc.,"Boston, MA",Jan. 2022 - Jun. 2024,"Regularly presented and shared expertise at Bumble Analytics forums, as well as mentored junior analysts."
Product Data Scientist,Bumble Inc.,"Boston, MA",Jan. 2022 - Jun. 2024,"Worked regularly with PMs, Designers, and Engineers to produce the best possible features. "
Product Data Scientist,Bumble Inc.,"Boston, MA",Jan. 2022 - Jun. 2024,"Created tracking specs, designed and analyzed experiments, and provided insights for feature sizing and planning. Example high profile features include the new subscription tier Premium+ and the Spotify Common Artist Banner."
Data Scientist,Alarm.com,"Tyson’s Corner, VA",Mar. 2020 - Jan. 2022,Gathered requirements from internal stakeholders and presented analysis results.
Data Scientist,Alarm.com,"Tyson’s Corner, VA",Mar. 2020 - Jan. 2022,"Built advanced SQL data pipelines involving window functions, CTEs, and aggregate functions."
Data Scientist,Alarm.com,"Tyson’s Corner, VA",Mar. 2020 - Jan. 2022,Analyzed in-app ad offers to measure effectiveness and provide recommendations for improvement.
Data Scientist,Alarm.com,"Tyson’s Corner, VA",Mar. 2020 - Jan. 2022,"Created machine learning models (logistic regression, GBM, etc.) to optimize targeting for marketing ads. Wrote SQL production code to implement logistic regression models. "
Data Scientist,Alarm.com,"Tyson’s Corner, VA",Mar. 2020 - Jan. 2022,Performed analysis to determine drivers of user engagement for specific business segments.
Data Scientist,Alarm.com,"Tyson’s Corner, VA",Mar. 2020 - Jan. 2022,"Provided ad hoc analyses, reporting, and dashboards across the Alarm.com business. "
Data Analyst,Point Right Inc.,"Cambridge, MA",Sept. 2018 - Mar. 2020,Created machine learning models for the prediction of injurious falls and pressure ulcers among nursing home residents.
Data Analyst,Point Right Inc.,"Cambridge, MA",Sept. 2018 - Mar. 2020,Transitioned legacy SAS code base to modern R code saving the company thousands in licensing fees.
Data Analyst,Point Right Inc.,"Cambridge, MA",Sept. 2018 - Mar. 2020,Fully automated reports and dashboards allowing for a large increase in the scale of production (from dozens to hundreds of reports or more) and a total reduction in delivery time of several days.
Data Analyst,Point Right Inc.,"Cambridge, MA",Sept. 2018 - Mar. 2020,"Performed analysis of business decisions and presented results to stake holders, including the CEO, company leadership, and members  of the board"
Data Analyst,Point Right Inc.,"Cambridge, MA",Sept. 2018 - Mar. 2020,Trained new hires in team coding standards and version control (git).
Biostatistician,Beth Israel Deaconess Medical Center,"Boston, MA",June 2017 - Sept. 2018,Served as lead statistician for two machine learning research projects that resulted in publications.
Biostatistician,Beth Israel Deaconess Medical Center,"Boston, MA",June 2017 - Sept. 2018,"Provided advanced statistical analysis of complex clinical trial data (phase II and phase III), which includes hierarchical and longitudinal data structures. Typical models included generalized linear models as well as time to event survival models."
Biostatistician,Beth Israel Deaconess Medical Center,"Boston, MA",June 2017 - Sept. 2018,Provided statistical consulting to medical researchers.
Data Analyst,Evolent Health,"Arlington, VA",Feb. 2017 - June 2017,"Cleaned, combined, and then analyzed diagnosis, prescription drug, and medical data. Data retrieval and analysis involved writing Microsoft SQL Server queries and then analyzing the data with R and/or Python. Analysis consisted of descriptive statistics and regression models. "
Data Analyst,Evolent Health,"Arlington, VA",Feb. 2017 - June 2017,"Produced visualizations, primarily with the R package ggplot2, to assist in explanation and interpretation of analysis results. "
Senior Analytics Consultant,IBM,"Springfield, VA",Aug. 2015 - Feb. 2017,Served as a U.S. government analytics consultant working on a survey sampling project for the USPS.
Senior Associate Cost Analyst,Technomics Inc.,"Washington, D.C.",Sept. 2014 - Aug. 2015,Provided front-end requirements generation and system design for DOD database and integrated web application CADE (Cost Assessment Data Enterprise).
Senior Associate Cost Analyst,Technomics Inc.,"Washington, D.C.",Sept. 2014 - Aug. 2015,Led team development testing efforts for the CADE project and provided testing results to management and developers.
